project,canonical_id,summary_row_count,summary_row_missing,duplicate_summary_rows,summary_conflict,conflicting_columns,task_dir_present,metadata_present,evidence_bundle_present,required_step_files_present,summary_step_mismatch,mismatch_fields,evidence_missing,needs_manual_review,review_reasons
0xKoda_WireMCP,CVE-2026-3959,1,no,no,no,,no,no,no,no,no,,yes,yes,"evidence_bundle_missing,metadata_missing,step_files_missing,task_dir_missing"
AstrBotDevs_AstrBot,CVE-2025-48957,1,no,no,no,,no,no,no,no,no,,yes,yes,"evidence_bundle_missing,metadata_missing,step_files_missing,task_dir_missing"
AstrBotDevs_AstrBot,CVE-2025-55449,1,no,no,no,,no,no,no,no,no,,yes,yes,"evidence_bundle_missing,metadata_missing,step_files_missing,task_dir_missing"
AstrBotDevs_AstrBot,CVE-2025-57697,1,no,no,no,,no,no,no,no,no,,yes,yes,"evidence_bundle_missing,metadata_missing,step_files_missing,task_dir_missing"
AstrBotDevs_AstrBot,CVE-2025-57698,1,no,no,no,,no,no,no,no,no,,yes,yes,"evidence_bundle_missing,metadata_missing,step_files_missing,task_dir_missing"
AstrBotDevs_AstrBot,CVE-2026-6117,1,no,no,no,,no,no,no,no,no,,yes,yes,"evidence_bundle_missing,metadata_missing,step_files_missing,task_dir_missing"
AstrBotDevs_AstrBot,CVE-2026-6118,1,no,no,no,,no,no,no,no,no,,yes,yes,"evidence_bundle_missing,metadata_missing,step_files_missing,task_dir_missing"
AstrBotDevs_AstrBot,CVE-2026-6119,1,no,no,no,,no,no,no,no,no,,yes,yes,"evidence_bundle_missing,metadata_missing,step_files_missing,summary_marked_manual_review,task_dir_missing"
AstrBotDevs_AstrBot,CVE-2026-6984,1,no,no,no,,no,no,no,no,no,,yes,yes,"evidence_bundle_missing,metadata_missing,step_files_missing,task_dir_missing"
AstrBotDevs_AstrBot,CVE-2026-7579,1,no,no,no,,no,no,no,no,no,,yes,yes,"evidence_bundle_missing,metadata_missing,step_files_missing,task_dir_missing"
BerriAI_litellm,CVE-2024-10188,1,no,no,no,,no,no,no,no,no,,yes,yes,"evidence_bundle_missing,metadata_missing,step_files_missing,task_dir_missing"
